COD_ORIGEM,COD_DESTINO,DISTANCIA_KM,CUSTO_DESLOCAMENTO
2802502,2805703,61.75,154.38
2802502,2806701,57.27,143.18
2802502,2807105,139.21,348.03
2802502,2807402,169.05,422.62
2802502,2807600,133.77,334.43
2802601,2800308,121.45,303.62
2802601,2800605,120.96,302.4
2802601,2800670,156.61,391.53
2802601,2801009,95.32,238.3
2802601,2801207,110.51,276.28
2802601,2801306,62.3,155.75
2802601,2801405,76.4,191.0
2802601,2801702,219.06,547.65
2802601,2802106,170.49,426.23
2802601,2802304,68.56,171.4
2802601,2802908,87.98,219.95
2802601,2803005,223.07,557.67
2802601,2803203,137.39,343.47
2802601,2803500,121.67,304.18
2802601,2803609,102.18,255.45
2802601,2804508,31.48,78.7
2802601,2804607,43.4,108.5
2802601,2804805,112.97,282.43
2802601,2805406,84.34,210.85
2802601,2805604,82.88,207.2
2802601,2805703,68.79,171.98
2802601,2806701,126.67,316.68
2802601,2807105,134.59,336.48
2802601,2807402,180.49,451.23
2802601,2807600,203.17,507.92
2802700,2800308,107.98,269.95
2802700,2800605,95.17,237.93
2802700,2800670,183.51,458.77
2802700,2801009,168.83,422.08
2802700,2801207,212.47,531.17
2802700,2801306,89.32,223.3
2802700,2801405,178.35,445.88
2802700,2801702,218.73,546.82
2802700,2802106,170.15,425.38
2802700,2802304,158.61,396.53
2802700,2802908,158.53,396.32
2802700,2803005,222.73,556.82
2802700,2803203,137.06,342.65
2802700,2803500,179.39,448.47
2802700,2803609,117.92,294.8
2802700,2804508,133.44,333.6
2802700,2804607,104.17,260.43
2802700,2804805,110.81,277.02
2802700,2805406,186.29,465.72
2802700,2805604,150.45,376.12
2802700,2805703,56.93,142.32
2802700,2806701,115.62,289.05
2802700,2807105,205.07,512.67
2802700,2807402,238.11,595.28
2802700,2807600,202.84,507.1
2802809,2800308,107.53,268.82
2802809,2800605,112.2,280.5
2802809,2800670,63.88,159.7
2802809,2801009,126.0,315.0
2802809,2801207,287.6,719.0
2802809,2801306,160.08,400.2
2802809,2801405,200.69,501.73
2802809,2801702,48.51,121.27
2802809,2802106,40.96,102.4
2802809,2802304,167.23,418.07
2802809,2802908,144.07,360.17
2802809,2803005,57.91,144.77
2802809,2803203,72.61,181.53
2802809,2803500,99.35,248.38
2802809,2803609,111.38,278.45
2802809,2804508,208.57,521.42
2802809,2804607,160.84,402.1
2802809,2804805,109.47,273.68
2802809,2805406,261.42,653.55
2802809,2805604,263.35,658.38
2802809,2805703,188.83,472.08
2802809,2806701,95.13,237.82
2802809,2807105,128.24,320.6
2802809,2807402,93.36,233.4
2802809,2807600,38.05,95.12
2802908,2800308,56.28,140.7
2802908,2800605,59.63,149.08
2802908,2800670,74.3,185.75
2802908,2801009,13.01,32.52
2802908,2801207,148.08,370.2
2802908,2801306,68.62,171.55
2802908,2801405,59.34,148.35
2802908,2801702,121.3,303.25
2802908,2802106,105.69,264.23
2802908,2802304,25.88,64.7
2802908,2803005,106.51,266.28
2802908,2803203,72.6,181.5
2802908,2803500,39.37,98.42
2802908,2803609,44.81,112.03
2802908,2804508,69.05,172.62
2802908,2804607,49.25,123.12
2802908,2804805,54.32,135.8
2802908,2805406,121.91,304.77
2802908,2805604,123.84,309.6
2802908,2805703,123.57,308.92
2802908,2806701,61.49,153.72
2802908,2807105,72.34,180.85
2802908,2807402,98.18,245.45
2802908,2807600,105.41,263.52
2803005,2800308,122.86,307.15
2803005,2800605,127.53,318.82
2803005,2800670,38.9,97.25
2803005,2801009,94.6,236.5
2803005,2801207,249.85,624.62
2803005,2801306,175.41,438.52
2803005,2801405,147.59,368.98
2803005,2801702,32.4,81.0
2803005,2802106,56.29,140.72
2803005,2802304,127.64,319.1
2803005,2802908,106.54,266.35
2803005,2803203,87.94,219.85
2803005,2803500,69.98,174.95
2803005,2803609,126.71,316.77
2803005,2804508,170.82,427.05
2803005,2804607,176.17,440.42
2803005,2804805,124.81,312.02
2803005,2805406,223.67,559.17
2803005,2805604,225.6,564.0
2803005,2805703,204.16,510.4
2803005,2806701,110.47,276.18
2803005,2807105,92.99,232.47
2803005,2807402,36.64,91.6
2803005,2807600,21.44,53.6
2803104,2800308,136.76,341.9
2803104,2800605,136.26,340.65
2803104,2800670,174.65,436.62
2803104,2801009,113.36,283.4
2803104,2801207,128.55,321.38
2803104,2801306,80.34,200.85
2803104,2801405,94.44,236.1
2803104,2801702,234.37,585.92
2803104,2802106,185.79,464.47
2803104,2802304,86.6,216.5
2803104,2802908,106.02,265.05
2803104,2803005,238.38,595.95
2803104,2803203,152.7,381.75
2803104,2803500,139.71,349.28
2803104,2803609,117.49,293.72
2803104,2804508,49.52,123.8
2803104,2804607,61.44,153.6
2803104,2804805,128.28,320.7
2803104,2805406,102.38,255.95
2803104,2805604,62.09,155.23
2803104,2805703,48.81,122.03
2803104,2806701,141.97,354.93
2803104,2807105,152.63,381.57
2803104,2807402,198.53,496.32
2803104,2807600,218.48,546.2
2803203,2800308,37.25,93.12
2803203,2800605,41.93,104.83
2803203,2800670,47.16,117.9
2803203,2801009,56.81,142.03
2803203,2801207,217.33,543.33
2803203,2801306,89.81,224.53
2803203,2801405,130.42,326.05
2803203,2801702,82.38,205.95
2803203,2802106,33.8,84.5
2803203,2802304,96.96,242.4
2803203,2802908,73.8,184.5
2803203,2803005,86.39,215.97
2803203,2803500,43.04,107.6
2803203,2803609,41.11,102.78
2803203,2804508,138.3,345.75
2803203,2804607,90.56,226.4
2803203,2804805,39.2,98.0
2803203,2805406,191.15,477.88
2803203,2805604,193.08,482.7
2803203,2805703,118.55,296.38
2803203,2806701,24.86,62.15
2803203,2807105,71.93,179.83
2803203,2807402,101.76,254.4
2803203,2807600,66.49,166.22
2803302,2800308,62.84,157.1
2803302,2800605,49.3,123.25
2803302,2800670,125.24,313.1
2803302,2801009,94.49,236.22
2803302,2801207,169.54,423.85
2803302,2801306,24.34,60.85
2803302,2801405,131.25,328.12
2803302,2801702,160.45,401.12
2803302,2802106,111.88,279.7
2803302,2802304,97.79,244.48
2803302,2802908,84.19,210.47
2803302,2803005,164.46,411.15
2803302,2803203,78.79,196.98
2803302,2803500,121.12,302.8
2803302,2803609,43.57,108.92
2803302,2804508,90.51,226.28
2803302,2804607,43.35,108.38
2803302,2804805,54.37,135.92
2803302,2805406,143.36,358.4
2803302,2805604,144.52,361.3
2803302,2805703,53.08,132.7
2803302,2806701,68.06,170.15
2803302,2807105,150.0,375.0
2803302,2807402,179.84,449.6
2803302,2807600,144.56,361.4
2803401,2800308,97.82,244.55
2803401,2800605,97.32,243.3
2803401,2800670,160.21,400.53
2803401,2801009,129.46,323.65
2803401,2801207,173.1,432.75
2803401,2801306,49.94,124.85
2803401,2801405,138.98,347.45
2803401,2801702,195.43,488.58
2803401,2802106,146.85,367.12
2803401,2802304,119.23,298.07
2803401,2802908,119.16,297.9
2803401,2803005,199.43,498.58
2803401,2803203,113.76,284.4
2803401,2803500,156.09,390.23
2803401,2803609,78.54,196.35
2803401,2804508,94.06,235.15
2803401,2804607,64.8,162.0
2803401,2804805,89.34,223.35
2803401,2805406,146.92,367.3
2803401,2805604,118.9,297.25
2803401,2805703,23.8,59.5
2803401,2806701,103.03,257.57
2803401,2807105,165.7,414.25
2803401,2807402,214.81,537.02
2803401,2807600,179.54,448.85
2803500,2800308,79.91,199.77
2803500,2800605,84.58,211.45
2803500,2800670,35.61,89.03
2803500,2801009,27.32,68.3
2803500,2801207,182.57,456.42
2803500,2801306,107.8,269.5
