X,Y,MEAN_X,MEAN_Y,ID_divisao
-48.4677899027102,-22.8672565288858,-48.467789902710166,-22.867256528885829,350750605_3507506039
-48.4504743797393,-22.8741001560273,-48.450474379739283,-22.874100156027311,350750605_3507506036
-48.4566508605216,-22.8724508310428,-48.456650860521577,-22.872450831042826,350750605_3507506035
-48.6965485287949,-20.2050683448789,-48.696548528794885,-20.205068344878949,351210005_.
-48.461849579394,-22.8721480768487,-48.461849579394034,-22.872148076848674,350750605_3507506038
-48.4531089389216,-22.8715416292352,-48.453108938921574,-22.871541629235189,350750605_3507506037
-49.1843752304882,-21.1064431821208,-49.184375230488243,-21.106443182120842,351940225_.
-48.4301035165209,-22.9210266313185,-48.430103516520909,-22.921026631318547,350750605_3507506032
-48.4393173950565,-22.9151458770061,-48.439317395056456,-22.915145877006072,350750605_3507506031
-48.4252984737221,-22.9182215278872,-48.425298473722115,-22.918221527887155,350750605_3507506033
-47.2142639737163,-20.643975790183,-47.214263973716307,-20.643975790183038,352370105_.
-48.4357652576393,-22.9111580256247,-48.435765257639339,-22.911158025624729,350750605_3507506030
-46.4823227065511,-23.6003709257386,-46.482322706551123,-23.600370925738588,355030873_.
-46.9922146917146,-21.4704626900231,-46.992214691714608,-21.470462690023083,353050805_3530508029
-47.0202083810494,-21.4557700148942,-47.020208381049429,-21.455770014894242,353050805_3530508028
-47.0157273761014,-21.4547353891906,-47.015727376101353,-21.454735389190581,353050805_3530508025
-46.971580441848,-22.8787632383489,-46.971580441848005,-22.878763238348860,350950225_.
-47.0108221866091,-21.4603051308103,-47.010822186609069,-21.460305130810259,353050805_3530508024
-50.4283976524926,-22.9014406358482,-50.428397652492585,-22.901440635848211,351000520_.
-47.0034194147103,-21.4672289869245,-47.003419414710322,-21.467228986924525,353050805_3530508027
-47.0117931988994,-21.4555404486961,-47.011793198899362,-21.455540448696091,353050805_3530508026
-45.2678889292133,-22.8351434882204,-45.267888929213271,-22.835143488220400,354075405_.
-46.996593326858,-21.4746530838911,-46.996593326858040,-21.474653083891141,353050805_3530508010
-47.0023417228016,-21.4756857593558,-47.002341722801603,-21.475685759355819,353050805_3530508012
-46.9957857064424,-21.4785632423705,-46.995785706442405,-21.478563242370473,353050805_3530508011
-48.4267625935531,-22.9067259237849,-48.426762593553114,-22.906725923784947,350750605_3507506029
-48.4269339951587,-22.9038531500983,-48.426933995158720,-22.903853150098254,350750605_3507506028
-50.792676233012,-22.8158705769727,-50.792676233011967,-22.815870576972696,353715605_.
-48.4341744827217,-22.8962354802381,-48.434174482721659,-22.896235480238079,350750605_3507506025
-48.4376249736751,-22.8989029511953,-48.437624973675113,-22.898902951195286,350750605_3507506024
-50.1908885925538,-20.1343567672251,-50.190888592553790,-20.134356767225093,352820505_.
-48.432127308397,-22.9042808617685,-48.432127308397014,-22.904280861768530,350750605_3507506027
-47.7928287669035,-20.0933591515108,-47.792828766903511,-20.093359151510828,350300005_.
-48.4298069874088,-22.9003633370592,-48.429806987408810,-22.900363337059208,350750605_3507506026
-48.4326628960907,-22.8675439055334,-48.432662896090712,-22.867543905533402,350750605_3507506021
-46.6041699247094,-23.5048355532023,-46.604169924709410,-23.504835553202302,355030886_.
-48.4404531257233,-22.8722784217785,-48.440453125723344,-22.872278421778528,350750605_3507506020
-48.4367255591288,-22.8959510834995,-48.436725559128817,-22.895951083499455,350750605_3507506023
-50.3554274560752,-20.5151682178072,-50.355427456075233,-20.515168217807233,354925005_.
-48.4212162851824,-22.8776529977935,-48.421216285182382,-22.877652997793540,350750605_3507506022
-47.0227755198127,-21.4605452999676,-47.022775519812654,-21.460545299967620,353050805_3530508018
-47.0190725828709,-21.4655545753348,-47.019072582870926,-21.465554575334846,353050805_3530508017
